season,week,date,away_team,home_team,elo_diff_pre_game,p_home,predicted_winner,model_probability,actual_home_score,actual_away_score,actual_winner,correct
2016,12,2016-11-27,CAR,LV,-233.62,0.2417,CAR,0.7583,35,32,LV,0
2016,12,2016-11-28,KC,DEN,84.44,0.6654,DEN,0.6654,27,30,KC,0
2016,12,2016-11-29,GB,PHI,-45.45,0.485,GB,0.515,13,27,GB,1
2016,13,2016-12-02,DAL,MIN,-41.67,0.4904,DAL,0.5096,15,17,DAL,1
2016,13,2016-12-04,KC,ATL,-62.42,0.4606,KC,0.5394,28,29,KC,1
2016,13,2016-12-04,MIA,BAL,66.15,0.6416,BAL,0.6416,38,6,BAL,1
2016,13,2016-12-04,SF,CHI,-24.3,0.5154,CHI,0.5154,26,6,CHI,1
2016,13,2016-12-04,PHI,CIN,71.18,0.6482,CIN,0.6482,32,14,CIN,1
2016,13,2016-12-04,HOU,GB,96.51,0.6807,GB,0.6807,21,13,GB,1
2016,13,2016-12-04,DEN,JAX,-418.01,0.0993,DEN,0.9007,10,20,DEN,1
2016,13,2016-12-04,LAR,NE,421.56,0.9327,NE,0.9327,26,10,NE,1
2016,13,2016-12-04,DET,NO,15.64,0.5724,NO,0.5724,13,28,DET,0
2016,13,2016-12-04,BUF,LV,-159.34,0.3283,BUF,0.6717,38,24,LV,0
2016,13,2016-12-04,WAS,ARI,135.82,0.7278,ARI,0.7278,31,23,ARI,1
2016,13,2016-12-04,NYG,PIT,149.55,0.7431,PIT,0.7431,24,14,PIT,1
2016,13,2016-12-04,TB,LAC,101.43,0.6868,LAC,0.6868,21,28,TB,0
2016,13,2016-12-05,CAR,SEA,116.07,0.7047,SEA,0.7047,40,7,SEA,1
2016,13,2016-12-06,IND,NYJ,-56.71,0.4688,IND,0.5312,10,41,IND,1
2016,14,2016-12-09,LV,KC,214.32,0.8077,KC,0.8077,21,13,KC,1
2016,14,2016-12-11,PIT,BUF,-130.21,0.3663,PIT,0.6337,20,27,PIT,1
2016,14,2016-12-11,LAC,CAR,111.57,0.6992,CAR,0.6992,28,16,CAR,1
2016,14,2016-12-11,CIN,CLE,-335.28,0.1508,CIN,0.8492,10,23,CIN,1
2016,14,2016-12-11,CHI,DET,121.97,0.7117,DET,0.7117,20,17,DET,1
2016,14,2016-12-11,HOU,IND,24.19,0.5844,IND,0.5844,17,22,HOU,0
2016,14,2016-12-11,MIN,JAX,-281.74,0.1946,MIN,0.8054,16,25,MIN,1
2016,14,2016-12-11,ARI,MIA,-126.85,0.3708,ARI,0.6292,26,23,MIA,0
2016,14,2016-12-11,WAS,PHI,73.4,0.6511,PHI,0.6511,22,27,WAS,0
2016,14,2016-12-11,DEN,TEN,-331.59,0.1535,DEN,0.8465,13,10,TEN,0
2016,14,2016-12-11,NYJ,SF,-33.91,0.5016,SF,0.5016,17,23,NYJ,0
2016,14,2016-12-11,SEA,GB,-124.23,0.3743,SEA,0.6257,38,10,GB,0
2016,14,2016-12-11,ATL,LAR,-166.83,0.3189,ATL,0.6811,14,42,ATL,1
2016,14,2016-12-11,NO,TB,-109.16,0.3949,NO,0.6051,16,11,TB,0
2016,14,2016-12-12,DAL,NYG,-95.52,0.4138,DAL,0.5862,10,7,NYG,0
2016,14,2016-12-13,BAL,NE,239.16,0.8289,NE,0.8289,30,23,NE,1
2016,15,2016-12-16,LAR,SEA,341.61,0.8973,SEA,0.8973,24,3,SEA,1
2016,15,2016-12-18,MIA,NYJ,-38.55,0.4949,MIA,0.5051,13,34,MIA,1
2016,15,2016-12-18,PHI,BAL,46.89,0.6157,BAL,0.6157,27,26,BAL,1
2016,15,2016-12-18,CLE,BUF,247.37,0.8355,BUF,0.8355,33,13,BUF,1
2016,15,2016-12-18,GB,CHI,-234.68,0.2406,GB,0.7594,27,30,GB,1
2016,15,2016-12-18,PIT,CIN,-47.79,0.4816,PIT,0.5184,20,24,PIT,1
2016,15,2016-12-18,JAX,HOU,249.52,0.8372,HOU,0.8372,21,20,HOU,1
2016,15,2016-12-18,TEN,KC,258.05,0.8438,KC,0.8438,17,19,TEN,0
2016,15,2016-12-18,IND,MIN,30.06,0.5925,MIN,0.5925,6,34,IND,0
2016,15,2016-12-18,DET,NYG,-19.24,0.5227,NYG,0.5227,17,6,NYG,1
2016,15,2016-12-18,NO,ARI,86.83,0.6685,ARI,0.6685,41,48,NO,0
2016,15,2016-12-18,SF,ATL,171.61,0.7666,ATL,0.7666,41,13,ATL,1
2016,15,2016-12-18,NE,DEN,-129.01,0.3679,NE,0.6321,3,16,NE,1
2016,15,2016-12-18,LV,LAC,75.99,0.6545,LAC,0.6545,16,19,LV,0
2016,15,2016-12-19,TB,DAL,181.74,0.7769,DAL,0.7769,26,20,DAL,1
2016,15,2016-12-20,CAR,WAS,-140.0,0.3533,CAR,0.6467,15,26,CAR,1
2016,16,2016-12-23,NYG,PHI,-5.11,0.5429,PHI,0.5429,24,19,PHI,1
2016,16,2016-12-24,MIA,BUF,36.89,0.602,BUF,0.602,31,34,MIA,0
2016,16,2016-12-24,ATL,CAR,39.41,0.6055,CAR,0.6055,16,33,ATL,0
2016,16,2016-12-24,WAS,CHI,-55.25,0.4709,WAS,0.5291,21,41,WAS,1
2016,16,2016-12-24,LAC,CLE,-195.94,0.2836,LAC,0.7164,20,17,CLE,0
2016,16,2016-12-24,MIN,GB,110.65,0.6981,GB,0.6981,38,25,GB,1
2016,16,2016-12-24,TEN,JAX,-108.07,0.3964,TEN,0.6036,38,17,JAX,0
2016,16,2016-12-24,NYJ,NE,395.18,0.9225,NE,0.9225,41,3,NE,1
2016,16,2016-12-24,IND,LV,-136.41,0.3581,IND,0.6419,33,25,LV,0
2016,16,2016-12-24,SF,LAR,-13.56,0.5308,LAR,0.5308,21,22,SF,0
2016,16,2016-12-24,TB,NO,106.27,0.6928,NO,0.6928,31,24,NO,1
2016,16,2016-12-24,ARI,SEA,133.61,0.7252,SEA,0.7252,31,34,ARI,0
2016,16,2016-12-25,CIN,HOU,-100.64,0.4066,CIN,0.5934,12,10,HOU,0
2016,16,2016-12-25,BAL,PIT,106.36,0.6929,PIT,0.6929,31,27,PIT,1
2016,16,2016-12-26,DEN,KC,-56.45,0.4692,DEN,0.5308,33,10,KC,0
2016,16,2016-12-27,DET,DAL,77.1,0.6559,DAL,0.6559,42,21,DAL,1
2016,17,2017-01-01,BAL,CIN,44.55,0.6125,CIN,0.6125,27,10,CIN,1
2016,17,2017-01-01,JAX,IND,252.39,0.8395,IND,0.8395,24,20,IND,1
